0151900,利尻富士町,011013,1,1,,,,,,
0152000,幌延町,011011,1,1,,,,,,
0154300,美幌町,013013,0,0,,,,,,
0154400,津別町,013013,0,0,,,,,,
0154500,斜里町,013012,1,1,,,,,,
0154600,清里町,013012,0,0,,,,,,
0154700,小清水町,013012,1,1,,,,,,
0154900,訓子府町,013020,0,0,,,,,,
0155000,置戸町,013020,0,0,,,,,,
0155200,佐呂間町,013011,1,0,,,,,,
0155500,遠軽町,013032,0,0,,,,,,
0155900,湧別町,013032,1,1,,,,,,
0156000,滝上町,013031,0,0,,,,,,
0156100,興部町,013031,1,1,,,,,,
0156200,西興部村,013031,0,0,,,,,,
0156300,雄武町,013031,1,1,,,,,,
0156400,大空町,013011,0,0,,,,,,
0157100,豊浦町,015011,1,1,,,,,,
0157500,壮瞥町,015011,0,0,,,,,,
0157800,白老町,015012,1,1,,,,,,
0158100,厚真町,015013,1,1,,,,,,
0158400,洞爺湖町,015011,1,1,,,,,,
0158500,安平町,015013,0,0,,,,,,
0158600,むかわ町,015013,1,1,,,,,,
0160101,日高町日高,015021,0,0,,,,,,
0160102,日高町門別,015021,1,1,,,,,,
0160200,平取町,015021,0,0,,,,,,
0160400,新冠町,015022,1,1,,,,,,
0160700,浦河町,015023,1,1,,,,,,
0160800,様似町,015023,1,1,,,,,,
0160900,えりも町,015023,1,1,,,,,,
0161000,新ひだか町,015022,1,1,,,,,,
0163100,音更町,014032,0,0,,,,,,
0163200,士幌町,014032,0,0,,,,,,
0163300,上士幌町,014031,0,0,,,,,,
0163400,鹿追町,014031,0,0,,,,,,
0163500,新得町,014031,0,0,,,,,,
0163600,清水町,014032,0,0,,,,,,
0163700,芽室町,014032,0,0,,,,,,
0163800,中札内村,014033,0,0,,,,,,
0163900,更別村,014033,0,0,,,,,,
0164100,大樹町,014033,1,1,,,,,,
0164200,広尾町,014033,1,1,,,,,,
0164300,幕別町,014032,0,0,,,,,,
0164400,池田町,014032,0,0,,,,,,
0164500,豊頃町,014032,1,1,,,,,,
0164600,本別町,014032,0,0,,,,,,
0164700,足寄町,014031,0,0,,,,,,
0164800,陸別町,014031,0,0,,,,,,
0164900,浦幌町,014032,1,1,,,,,,
0166100,釧路町,014024,1,1,,,,,,
0166200,厚岸町,014023,1,1,,,,,,
0166300,浜中町,014023,1,1,,,,,,
0166400,標茶町,014022,0,0,,,,,,
0166500,弟子屈町,014021,0,0,,,,,,
0166700,鶴居村,014022,0,0,,,,,,
0166800,白糠町,014024,1,1,,,,,,
0169100,別海町,014012,1,1,,,,,,
0169200,中標津町,014011,0,0,,,,,,
0169300,標津町,014011,1,1,,,,,,
0169400,羅臼町,014011,1,1,,,,,,
0220100,青森市,020011,1,1,,,,,,
0220200,弘前市,020014,0,0,,,,,,
0220300,八戸市,020031,1,1,,,,,,
0220400,黒石市,020014,0,0,,,,,,
0220500,五所川原市,020012,1,1,,,,,,
0220600,十和田市,020032,0,0,,,,,,
